Nome del progetto,Sito web di riferimento,Stato di attività,Scopo principale del progetto,Descrizione degli aspetti di CS (ad esempio in base ai 10 principi di ECSA).,Attività svolte dai partecipanti,PROVINCIA,Regione,"Luogo di svolgimento del progetto (città, provincia)",Entità geografica del progetto,Principale organizzazione promotrice,"Materiali prodotti, kit e/o attrezzature forniti ai partecipanti per svolgere le attività di campo (opzionale)","Note (altri dettagli, repository di dati, pubblicazioni, ecc.)",TAGs/Keywords,immagine
Wikiplantbase #Sardegna,https://bot.biologia.unipi.it/wpb/sardegna/index,attivo,Raccogliere dati di occurence delle specie della flora sarda,Coinvolgimento dei cittadini in una attività scientifica che genera nuove conoscenze e produce risultati scientifici originali. I dati sono resi pubblicamente disponibili.,"raccolta e invio di dati senza foto o video, trascrizioni (ad es. cartellini di reperti museali), immissione dati (propri o di progetto), Immissione di dati da fonti bibliografiche","CAGLIARI.
CARBONIA-IGLESIAS.
MEDIO CAMPIDANO.
NUORO.
OGLIASTRA.
OLBIA-TEMPIO.
ORISTANO.
SASSARI",Sardegna,Sardegna,regionale,,,,"Sardegna, biologia, biodiversità, ambiente, piante vascolari",01_sardegna.jpg
progetto Neptis - Farfalle delle Alpi orientali,https://www.biologia.unipd.it/ricerca/progetti-di-ricerca/progetto-neptis/,attivo,"aumentare in modo sostanziale le attuali conoscenze sulla distribuzione, ecologia e stato di conservazione delle specie di farfalle (Lepidotteri Papilionoidei) che vivono nelle aree collinari e montane dell’Italia nord-orientale","Per il principio 1:  si basa sulla collaborazione volontaria di chiunque voglia contribuire, condividendo le proprie osservazioni di farfalle sul territorio.
Per il principio 2:  Alla fine del progetto, il database sarà oggetto di una “analisi” definitiva, per ottenere informazioni sulla diffusione, distribuzione, fenologia ed ecologia delle diverse specie nel territorio considerato. I risultati saranno pubblicati in un volume. 
Per il principio 3: il progetto è concepito anche per (i) 2)	promozione di interesse e attenzione verso la biodiversità nell’Italia nord-orientale, in particolare per la fauna “minore” e “invertebrati”; (ii) fornire a persone opportunità e/o stimolo per sviluppare o approfondire conoscenze e competenze professionalizzanti nei settori dell’analisi ambientale, ricerca, educazione ambientale, didattica naturalistica
Per il principio 4: convolgimento nella raccolta dati, nella validazione dei dati, nell'analisi dei dati e nella pubblicazione/divulgazione dei risultati
Per il principio 5: Dopo ogni inverno, quindi, ogni collaboratore riceverà annualmente un report con i risultati preliminari del progetto e le identificazioni delle proprie osservazioni.
Per il principio 6: Tutte le osservazioni saranno raccolte in un database e saranno sottoposte ad una serie di controlli (“validazione”) da parte dei coordinatori, soprattutto per identificare le specie o confermare le identificazioni indicate (sulla base delle fotografie associate), verificare la precisione della georeferenziazione, ecc.
Per il principio 7: il database georiferito sarà reso disponibile per finalità di ricerca e conservazione; i risultati delle analisi saranno pubblicati in un volume.
Per i principi 8, 9, 10: ogni dato rimane associato a osservatore/i e identificatore/i.
","registrazione e invio di foto, audio o video, identificazione foto o reperti, raccolta e invio di dati senza foto o video, raccolta di campioni","Padova,
Trento, 
Bolzano
Belluno, 
Vicenza, 
Verona
Udine
Pordenone",Friuli Venezia Giulia,"Lombardia, Trentino Alto Adige, Veneto, Friuli Venezia Giulia: rilievi collinari e montuosi dell'Italia nord-orientale (Lombardia, Trentino Alto Adige, Veneto, Friuli Venezia Giulia)",regionale,Dipartimento di Biologia dell’Università di Padova,numerosi,,"Alpi orientali, biologia, biodiversità, farfalle, lepidotteri",02_Neptis.png
AlienFish,https://www.facebook.com/alienfish/,attivo,"Lo studio ed il monitoraggio delle specie rare, termofile o aliene nei mari italiani, e più in generale in Mediterraneo. Il progetto è focalizzato prevalentemente (ma non solo) sulle specie ittiche. ","Il progetto prevede la collaborazione di subacquei, pescatori ed altre persone coinvolte a vario titolo in attività legate al mare. Queste persone vengono contattate direttamente tramite conoscenze personali, o tramite l'utilizzo di social network come Facebook. Nei gruppi Facebook di pesca e di biologia marina, infatti, accade spesso che alcuni utenti chiedano identificazioni di pesci o altri organismi osservati/catturati, che talvolta risultano essere specie rare e poco segnalate in Mediterraneo. Abbiamo ora un buon seguito, e persone che ci avvisano tempestivamente quando vengono osservate specie rare, termofile o aliene nei mari italiani. Se da un lato questo ci permette di raccogliere molte segnalazioni di organismi particolari in Mediterraneo, dall'altro ci consente di aiutare le persone coinvolte con il processo di identificazione. I dati raccolti sono di norma utilizzati per pubblicazioni scientifiche, in cui ovviamente i collaboratori vengono ringraziati. Ultimamente stiamo abbinando tecniche molecolari alla citizen science, per avere risultati ancora più solidi. ","registrazione e invio di foto, audio o video, classificazione immagini, raccolta di campioni",Siracusa,Sicilia,Coste italiane e mediterranee in generale,nazionale,Ente Fauna Marina Mediterranea,,https://doi.org/10.3390/hydrobiology3010001 https://doi.org/10.19233/ASHN.2023.09,"Mediterraneo, specie ittiche, specie aliene, fauna marina",03_alienfish.jpg
SharkApp,https://play.google.com/store/apps/details?id=it.szn.sharkapp&hl=it&gl=US,attivo,Identificazione e mappatura delle segnalazioni di squali nelle acque italiane,"I cittadini inviano segnalazioni fotografiche e contestualizzate di avvistamenti di squali nelle acque italiane (diporto, immersione, crociere etc.) e/o in aree costiere (come mercati ittici). In questo modo, è possibie avere un aumento delle segnalazioni, che vengono comunque controllate e censite dagli esperti della SZN, e creare una mappa (disponibile in app) della distribuzione delle specie conosciute di squali nel Mediterraneo italiano. Mappature di questo tipo senza il coinvolgimento attivo degli stakeholder del mare sono quantomeno difficili se non impossibili (e, di fatto, non esistono). Tali mappature permettono una maggior conoscenza e consapevolezza della distribuzione geografica degli squali, e quindi forniscono agli studiosi una serie di preziosi strumenti per la conservazione dei condroitti nelle nostre acque. Tuttavia, il progetto non si limita alle segnalazioni: tramite la diffusione delle buone pratiche di pesca che tengono conto della salvaguardia dei condroitti (nella maggior parte dei casi vittime del bycatch), possono fattivamente cambiare le condizioni di sopravvivenza e tutela di specie ad alto rischio di estinzione locale o globale. 
Tramite l'utilizzo dell'app, i partecipanti possono avere accesso alle mappe, segnalazioni e foto, fornendo così uno strumento prezioso per chi è interessato alla conservazione degli squali. Inoltre, l'app e i deliverable associati forniscono anche una serie di strumenti e manuali per l'identificazione delle specie e, per i pescatori, anche buone pratiche sulla manipolazione e liberazione degli animali. ","registrazione e invio di foto, audio o video, identificazione foto o reperti, immissione dati (propri o di progetto)","Napoli
Genova",Liguria,"Napoli, Genova",nazionale,Stazione Zoologica Anton Dohrn / LIFE,App iOS e Android,,"Mediterraneo, zoologia, squali",04_pexels-valdemaras-d-784301-1700656.jpg
BOB - Behavoural observations in beetles,https://www.spotteron.net/apps/global-community-science-projects/spotteron-citizen-science-app-behavioural-observations-in-beetles,non ancora iniziato,"Registrare comportamenti di alcune specie protette di coleotteri (Lucanus cervus, Rosalia alpina, Morimus asper/funereus)","Il progetto si avvale della collaborazione di volontari nelle fasi di project design e di raccolta dati.
Nel 2024 un gruppo di volontari testerà l'app progettata dallo staff tecnico-scientifico del progetto. Sulla base delle indicazioni pervenutte l'app sarà modificata e nella sua veste definitiva la campagna di osservazioni sarà aperta a tutta la cittadinanza nel 2025.","registrazione e invio di foto, audio o video, classificazione immagini, identificazione foto o reperti, raccolta e invio di dati senza foto o video, immissione dati (propri o di progetto)",Parma,Emilia Romagna,da definire,nazionale,CREA con la collaborazione di Universitò di Parma,da definire,,"Biologia, biodiversità, coleotteri, ",05_BOB_Logo_Positiv-Final.png
LIFE ESC360 - After Life,www.facebook.com/life360esc/,attivo,"Il progetto LIFE ESC360 ""Volunteers for monitoring forest biodiversity in the Italian Natura 2000 network"" aveva lo scopo di reclutare giovani volonari aderenti al corpo europeo di solidarietà per effettuare attività di monitoraggio di specie e habitat protetti all'interno di Riserve Statali gestite dall'Arma dei Carabinieri. Il progetto è attualmente nella fase after-life, nel 2024 e nel 2025 saranno mantenute le attività previste nel progetto seppur in forma ridotta (in termini di numero di volontari e durata dei turni di volontariato)",Volontari di 18-30 anni contribuiscono alla raccola di dati sulla stato di conservazione di specie e habitat protetti nelle Riserve Statali ricadenti all'interno della Rete Natura 2000,"registrazione e invio di foto, audio o video, classificazione immagini, identificazione foto o reperti, raccolta e invio di dati senza foto o video, raccolta di campioni, immissione dati (propri o di progetto), Attività di divulgazione e informazione","Mantova,
Ferrara,
Arezzo,
Forlì-Cesena,
Latina,
Bari,
Brindisi",Puglia,"5 macroaree: 1) Bosco Fontana (MN), 2) Riserve Statli della Marella, 3) Riserve Statali delle Foreste Casentinesei, 4) Riserve Statali del Circeo, 5) Murge orientali",locale,Raggruppamento Biodiversitò dell'Arma dei Carabinieri & CREA,,"Descrizione del progetto (https://zenodo.org/records/7408051), Layman's Report (https://zenodo.org/records/7217461)","Biologia, biodiversità, ",06_lifeESC360.png
Guardiani della Costa,www.guardianidellacosta.it,attivo,"Valutare il livello di naturalità delle spiagge italiane, analizzare i materiali spiaggiati e monitorare micro e mesoplastiche negli arenili","Il programma di CS di Guardiani della Costa rispetta tutti i principi ECSA.
Il programma è dedicato alle scuole superiori italiane. I docenti interessati si registrano sulla piattaforma online e coinvolgono i loro studenti, creando ""squadre"" di rilevatori. Per ogni squadra, ciascun docente adotta un tratto di spiaggia dove effettuare la raccolta dati scientifici. Prima delle uscite sul campo, docenti e studenti vengono formati da ENEA (partner scientifico) sulle tematiche di riferimento e sui protocolli di raccolta dati, attraverso dispense, video webcast, e webinar in diretta dove è possibile interagire con gli esperti, grazie alla piattaforma messa a disposizione da Scuola di Robotica (partner tecnico). Le squadre di Guardiani, coordinate dai rispettivi docenti, effettuano le uscite sui tratti di spiaggia adottati e raccolgono i dati seguendo protocolli specifici elaborati da ENEA. Dati e fotografie vengono caricati dalle squadre sulla piattaforma online. I dati ricevuti vengono verificati da ENEA (validazione). Superata la validazione, i dati vengono elaborati. I risultati vengono restituiti ai partecipanti e al pubblico più ampio attraverso report, webinar in diretta, sistemi interattivi di consultazione online, comunicazioni scientifiche e diffusione su testate giornalistiche.","registrazione e invio di foto, audio o video, analisi dati, raccolta di campioni, immissione dati (propri o di progetto), Partecipazione ad attività formative, raccolta dati sul campo secondo protocolli prestabiliti",Coste italiane,Calabria,nazionale,nazionale,Costa Crociere Foundation,"Dispense, video online, webinar in diretta. Durante i webinar vengono anche fornite istruzioni per la costruzione di semplici strumenti per la raccolta dati.","- L'indirizzo https://www.guardianidellacosta.it/dati-raccolti/ ospita la piattaforma per la consultazione dinamica dei dati raccolti.
- In occasione del 53° congresso della SIBM (Roma 12-13 giugno 2024) è stato presentato il poster dal titolo ""La citizen science nel monitoraggio di rifiuti, meso e microplastiche nelle spiagge italiane. Il coinvolgimento delle scuole nel progetto “Guardiani della Costa”.
- Esempio comunicazione su testate giornalistiche: https://finanza.lastampa.it/News/2024/04/11/ambiente-enea-70mila-studenti-in-campo-per-i-guardiani-della-costa-/MTIxXzIwMjQtMDQtMTFfVExC","Ambiente, microplastiche, spiagge",07_guardiani.png
SOS Pinna: la Subacquea aiuta la Ricerca,,attivo,"Coinvolgere i subacquei amatoriali e professionisti nella ricerca di individui vivi di Pinna nobilissimo e Pinna rudis, due specie protette, la prima a rischio estinzione",I subacquei sono coinvolti nella ricerca di esemplari di Pinna generando nuove conoscenze per la loro distribuzione geografica; traggono vantaggio ricevendo feedback sotto forma di ringraziamenti a congressi e in pubblicazioni oltre che essendo chiamati a descrivere la loro attività nel corso di convegni e seminari pubblici,"registrazione e invio di foto, audio o video, raccolta e invio di dati senza foto o video, immissione dati (propri o di progetto)",Taranto,Puglia,nazionale,nazionale,CNR Istituto di Ricerca sulle Acque (IRSA),Scheda di segnalazione con tutte le informazioni necessarie a validare le segnalazioni ricevute,,"Pinna nobilis, Mediterraneo, Salvaguardia, biodiversità",8_Pinna_nobilis.jpg
Butterfly Monitoring Scheme,https://butterfly-monitoring.net/it/italy-bms,attivo,"Rete europea permanente di raccolta dati semiquantitativi di farfalle, cui abbiamo aderito nel 2019.  ",Tutta la rete si basa sulla raccolta dati da parte di cittadini opportunamente guidati e seguiti,raccolta e invio di dati senza foto o video,Torino,Lombardia,Italia ,nazionale,"A livello europeo Buttefly Conaservatione Europe , in italia coordinato da Simona Bonelli (UNITO) con la collaborazione di Leonardo Dapporto (UNIFI) e Stefano Scalercio (CREA)","Guide, videotutorial manuali
https://butterfly-monitoring.net/index.php/it/guide-da-campo
https://butterfly-monitoring.net/index.php/it/bms-methods","I dati raccolti confluiscono tutti nello stesso data base BCE e producono ogni 5 anni il Butterfly Grassland Indicator richiesto e adottato dalla UE
https://www.eea.europa.eu/data-and-maps/figures/european-grassland-butterfly-indicator","biologia, biodiversità, farfalle, lepidotteri",9_butterfly.png
Filling gaps in geoportals: proposing indicators of shipping impacts and other human activities on marine biodiversity.,Nessuno,attivo,Bridging gaps in geoportals: Georeferencing proposed indicators of maritime traffic and other human activities on marine biodiversity.,"Our Citizen Science project actively involves stakeholders generating production of data. We organized a series of 11 workshops in Naples, University of Naples “Federico II” with stakeholders from the maritime sector to define the criticalities of shipping activities, particularly in relation to marine biodiversity, and assess the geoeconomic trends and solutions for sustainability. We engaged stakeholders in workshops to analyze information and data and co-produce knowledge on what are the drivers of shipping's impact on biodiversity as a genuine science outcome. Integrating georeferenced data into geoportals is crucial for understanding the impacts of maritime traffic and other human activities on marine biodiversity and stakeholders, including Authorities, can significantly contribute to constructing these data sets.  
Stakeholders are procuring data and/or images for the research topics that we will then involve in final workshop. Benefits may include the publication of research outputs, social benefits, satisfaction through contributing to scientific evidence and through that, the potential to influence policy.
Data and meta-data useful for our georeferenced indicators in shipping will take into consideration legal and ethical issues surrounding copyright, intellectual property, data sharing agreements, confidentiality, attribution, and the environmental impact of any activities. Stakeholders' research activities will be officially recognized in project results and publications.
","analisi dati, raccolta e invio di dati senza foto o video, raccolta di campioni, immissione dati (propri o di progetto)",Napoli,Campania,Naples,nazionale,University of Naples Federico II,Nessuno,Articoli in fase di pubblicazione,"Biodiversità marina, mediterraneo",10_geomarine.png
