Tipo,Data Inizio,Data Fine,Nome del progetto,Sito web di riferimento,Stato di attività,Descrizione del progetto,Scopo principale del progetto,Descrizione degli aspetti di CS (ad esempio in base ai 10 principi di ECSA).,PROVINCE,Come partecipare,"Luogo di svolgimento del progetto (città, provincia)",Entità geografica del progetto,Principale organizzazione promotrice,Keywords,immagine,iNaturalist,Risultati,Argomenti scientifici,Tipo di pubblico,Livello difficoltà,Cosa portare,Lat,Lng,Programma finanziamento,Punto di contatto pubblico,E-mail contatto,Email utente,,GeoJSON nome file
Progetto,01/01/2025,,Wikiplantbase #Sardegna,https://bot.biologia.unipi.it/wpb/sardegna/index,active,"Il progetto Wikiplantbase #Sardegna - verso un catalogo collaborativo, online e gratuito delle piante vascolari della Sardegna, intende facilitare la raccolta e la consultazione di dati floristici per la Sardegna, con un'interfaccia liberamente accessibile ed aperta al contributo di tutti. E' possibile inserire segnalazioni tratte da campioni d'erbario, libri, articoli pubblicati su riviste scientifiche e osservazioni personali. Le segnalazioni georeferenziate sono cartografate sulle mappe Google.",Raccogliere dati di occurence delle specie della flora sarda,Coinvolgimento dei cittadini in una attività scientifica che genera nuove conoscenze e produce risultati scientifici originali. I dati sono resi pubblicamente disponibili.,CAGLIARI;CARBONIA-IGLESIAS;MEDIO CAMPIDANO;NUORO;OGLIASTRA;OLBIA-TEMPIO;ORISTANO;SASSARI,Per maggiori informazioni contatta la mail di riferimento o visita il sito del progetto,Sardegna,regionale,Università degli Studi di Sassari ,"Sardegna, biologia, biodiversità, ambiente, piante vascolari",01_sardegna.jpg,,,scienze naturali,Ricercatori; Pubblico generico; Appassionati,Facile,,,,,Simonetta Bagella,sbagella@uniss.it,sbagella@uniss.it,,1
Progetto,01/01/2025,,progetto Neptis - Farfalle delle Alpi orientali,https://www.biologia.unipd.it/ricerca/progetti-di-ricerca/progetto-neptis/,active,"Neptis è un progetto di ricerca per aumentare in modo sostanziale le attuali conoscenze sulla distribuzione, ecologia e stato di conservazione delle specie di farfalle (Lepidotteri Papilionoidei) che vivono nelle aree collinari e montane dell’Italia nord-orientale.
 È un progetto di “citizen science”, ossia si basa sulla collaborazione volontaria di chiunque voglia contribuire, condividendo le proprie osservazioni di farfalle sul territorio.
 Il progetto durerà 3 anni. È coordinato da Lucio Bonato, assieme a Enrico Carta, Luca Gregnanin ed Enrico Vettorazzo. È promosso dal Dipartimento di Biologia dell’Università di Padova e dal Parco Nazionale Dolomiti Bellunesi.","aumentare in modo sostanziale le attuali conoscenze sulla distribuzione, ecologia e stato di conservazione delle specie di farfalle (Lepidotteri Papilionoidei) che vivono nelle aree collinari e montane dell’Italia nord-orientale","Per il principio 1:  si basa sulla collaborazione volontaria di chiunque voglia contribuire, condividendo le proprie osservazioni di farfalle sul territorio.
Per il principio 2:  Alla fine del progetto, il database sarà oggetto di una “analisi” definitiva, per ottenere informazioni sulla diffusione, distribuzione, fenologia ed ecologia delle diverse specie nel territorio considerato. I risultati saranno pubblicati in un volume. 
Per il principio 3: il progetto è concepito anche per (i) 2)	promozione di interesse e attenzione verso la biodiversità nell’Italia nord-orientale, in particolare per la fauna “minore” e “invertebrati”; (ii) fornire a persone opportunità e/o stimolo per sviluppare o approfondire conoscenze e competenze professionalizzanti nei settori dell’analisi ambientale, ricerca, educazione ambientale, didattica naturalistica
Per il principio 4: convolgimento nella raccolta dati, nella validazione dei dati, nell'analisi dei dati e nella pubblicazione/divulgazione dei risultati
Per il principio 5: Dopo ogni inverno, quindi, ogni collaboratore riceverà annualmente un report con i risultati preliminari del progetto e le identificazioni delle proprie osservazioni.
Per il principio 6: Tutte le osservazioni saranno raccolte in un database e saranno sottoposte ad una serie di controlli (“validazione”) da parte dei coordinatori, soprattutto per identificare le specie o confermare le identificazioni indicate (sulla base delle fotografie associate), verificare la precisione della georeferenziazione, ecc.
Per il principio 7: il database georiferito sarà reso disponibile per finalità di ricerca e conservazione; i risultati delle analisi saranno pubblicati in un volume.
Per i principi 8, 9, 10: ogni dato rimane associato a osservatore/i e identificatore/i.
",Padova;Trento;Bolzano;Belluno;Vicenza;Verona;Udine;Pordenone,Per maggiori informazioni contatta la mail di riferimento o visita il sito del progetto,"Lombardia, Trentino Alto Adige, Veneto, Friuli Venezia Giulia: rilievi collinari e montuosi dell'Italia nord-orientale (Lombardia, Trentino Alto Adige, Veneto, Friuli Venezia Giulia)",regionale,Dipartimento di Biologia dell’Università di Padova,"Alpi orientali, biologia, biodiversità, farfalle, lepidotteri",02_Neptis.png,,,scienze naturali,Ricercatori; Pubblico generico; Appassionati,Facile,,,,,Lucio Bonato,lucio.bonato@unipd.it,lucio.bonato@unipd.it,,2
Progetto,01/01/2025,,AlienFish,https://www.facebook.com/alienfish/,active,"Il progetto si propone di studiare e monitorare la presenza e la diffusione di specie rare, termofile o aliene nei mari italiani e, più in generale, nel Mediterraneo, con particolare attenzione (ma non esclusivamente) alle specie ittiche.
 
 L’attività si fonda su un approccio di citizen science, che coinvolge subacquei, pescatori e altre persone legate al mare. I collaboratori vengono contattati attraverso reti personali oppure tramite social network, in particolare Facebook, dove spesso gli utenti condividono osservazioni e chiedono supporto per l’identificazione di pesci o altri organismi. Alcune di queste segnalazioni si rivelano di grande interesse scientifico, in quanto riguardano specie poco comuni o scarsamente documentate nel Mediterraneo.
 
 Grazie alla partecipazione crescente della comunità, è stato possibile costruire una rete di segnalazioni tempestive che non solo arricchiscono il monitoraggio scientifico, ma offrono anche un supporto diretto agli osservatori attraverso processi di identificazione accurati.
 
 I dati raccolti vengono impiegati per la produzione di pubblicazioni scientifiche, con un riconoscimento formale dei contributi ricevuti dai collaboratori. Inoltre, il progetto integra oggi tecniche molecolari alle osservazioni di citizen science, al fine di rafforzare la solidità e l’affidabilità dei risultati ottenuti.","Lo studio ed il monitoraggio delle specie rare, termofile o aliene nei mari italiani, e più in generale in Mediterraneo. Il progetto è focalizzato prevalentemente (ma non solo) sulle specie ittiche. ","Il progetto prevede la collaborazione di subacquei, pescatori ed altre persone coinvolte a vario titolo in attività legate al mare. Queste persone vengono contattate direttamente tramite conoscenze personali, o tramite l'utilizzo di social network come Facebook. Nei gruppi Facebook di pesca e di biologia marina, infatti, accade spesso che alcuni utenti chiedano identificazioni di pesci o altri organismi osservati/catturati, che talvolta risultano essere specie rare e poco segnalate in Mediterraneo. Abbiamo ora un buon seguito, e persone che ci avvisano tempestivamente quando vengono osservate specie rare, termofile o aliene nei mari italiani. Se da un lato questo ci permette di raccogliere molte segnalazioni di organismi particolari in Mediterraneo, dall'altro ci consente di aiutare le persone coinvolte con il processo di identificazione. I dati raccolti sono di norma utilizzati per pubblicazioni scientifiche, in cui ovviamente i collaboratori vengono ringraziati. Ultimamente stiamo abbinando tecniche molecolari alla citizen science, per avere risultati ancora più solidi. ",Siracusa,Per maggiori informazioni contatta la mail di riferimento o visita il sito del progetto,Coste italiane e mediterranee in generale,nazionale,Ente Fauna Marina Mediterranea,"Mediterraneo, specie ittiche, specie aliene, fauna marina",03_alienfish.jpg,,,scienze naturali,Ricercatori; Pubblico generico; Appassionati,Facile,,,,,Alessandro Nota,alessandro.nota@unipv.it,alessandro.nota@unipv.it,,3
Progetto,01/01/2025,,SharkApp,https://play.google.com/store/apps/details?id=it.szn.sharkapp&hl=it&gl=US,active,"Il progetto si concentra sull’identificazione e la mappatura delle segnalazioni di squali nelle acque italiane, con l’obiettivo di aumentare la conoscenza scientifica e la consapevolezza pubblica sulla distribuzione di questi animali nel Mediterraneo.
 
 I cittadini possono contribuire attivamente inviando segnalazioni fotografiche e contestualizzate di avvistamenti di squali, sia in mare aperto (diporto, immersioni, crociere) sia lungo le coste (ad esempio nei mercati ittici). Tutte le segnalazioni vengono verificate e catalogate dagli esperti della Stazione Zoologica Anton Dohrn (SZN), contribuendo alla creazione di una mappa interattiva – disponibile tramite app – della distribuzione delle specie di squali presenti nel Mediterraneo italiano.
 
 Questo approccio partecipativo è fondamentale: senza il coinvolgimento diretto di pescatori, subacquei e appassionati del mare, tali mappature risulterebbero estremamente difficili, se non impossibili. I dati raccolti non solo arricchiscono la conoscenza scientifica, ma forniscono anche strumenti utili per la conservazione dei condroitti, categoria che include specie spesso minacciate e vulnerabili al bycatch.
 
 Il progetto non si limita alla raccolta di segnalazioni: tramite l’app, i partecipanti hanno accesso a mappe, fotografie, guide di identificazione delle specie e manuali con buone pratiche di pesca sostenibile, comprese tecniche per la corretta manipolazione e liberazione degli animali catturati accidentalmente.",Identificazione e mappatura delle segnalazioni di squali nelle acque italiane,"I cittadini inviano segnalazioni fotografiche e contestualizzate di avvistamenti di squali nelle acque italiane (diporto, immersione, crociere etc.) e/o in aree costiere (come mercati ittici). In questo modo, è possibie avere un aumento delle segnalazioni, che vengono comunque controllate e censite dagli esperti della SZN, e creare una mappa (disponibile in app) della distribuzione delle specie conosciute di squali nel Mediterraneo italiano. Mappature di questo tipo senza il coinvolgimento attivo degli stakeholder del mare sono quantomeno difficili se non impossibili (e, di fatto, non esistono). Tali mappature permettono una maggior conoscenza e consapevolezza della distribuzione geografica degli squali, e quindi forniscono agli studiosi una serie di preziosi strumenti per la conservazione dei condroitti nelle nostre acque. Tuttavia, il progetto non si limita alle segnalazioni: tramite la diffusione delle buone pratiche di pesca che tengono conto della salvaguardia dei condroitti (nella maggior parte dei casi vittime del bycatch), possono fattivamente cambiare le condizioni di sopravvivenza e tutela di specie ad alto rischio di estinzione locale o globale. 
Tramite l'utilizzo dell'app, i partecipanti possono avere accesso alle mappe, segnalazioni e foto, fornendo così uno strumento prezioso per chi è interessato alla conservazione degli squali. Inoltre, l'app e i deliverable associati forniscono anche una serie di strumenti e manuali per l'identificazione delle specie e, per i pescatori, anche buone pratiche sulla manipolazione e liberazione degli animali. ",Napoli;Genova,Per maggiori informazioni contatta la mail di riferimento o visita il sito del progetto,"Napoli, Genova",nazionale,Stazione Zoologica Anton Dohrn / LIFE,"Mediterraneo, zoologia, squali",04_pexels-valdemaras-d-784301-1700656.jpg,,,scienze naturali,Ricercatori; Pubblico generico; Appassionati,Facile,,,,,Marco Signore,marco.signore@szn.it,marco.signore@szn.it,,4
Progetto,01/11/2023,31/12/2026,BOB - Behavoural observations in beetles,https://www.spotteron.net/apps/global-community-science-projects/spotteron-citizen-science-app-behavioural-observations-in-beetles,active,"L’app BOB (acronimo di Behavioural Observations in Beetles), un’iniziativa del CREA, è dedicata a contribuire allo studio del comportamento degli insetti protetti in Europa. I cittadini scienziati sono invitati a osservare tre particolari specie di coleotteri presenti nei loro dintorni: il cervo volante (Lucanus cervus), la rosalia alpina (Rosalia alpina) e il morimo (Morimus asper).
 
 Queste tre specie di coleotteri sono tutte protette dalla Direttiva Habitat dell’Unione Europea. Durante la fase larvale, esse dipendono dal legno morto come risorsa fondamentale per il loro sviluppo, motivo per cui sono definite “saproxiliche”. Quando i cittadini scienziati incontrano uno di questi coleotteri, possono osservarlo, scattare una foto e caricarla sull’app BOB insieme ad alcune informazioni richieste. Se i partecipanti hanno difficoltà a identificare con precisione la specie osservata, possono comunque caricare le foto con una descrizione: il team del CREA sarà in grado di lavorare con le informazioni fornite.","Registrare comportamenti di alcune specie protette di coleotteri (Lucanus cervus, Rosalia alpina, Morimus asper/funereus)","Il progetto si avvale della collaborazione di volontari nelle fasi di project design e di raccolta dati.
Nel 2024 un gruppo di volontari testerà l'app progettata dallo staff tecnico-scientifico del progetto. Sulla base delle indicazioni pervenutte l'app sarà modificata e nella sua veste definitiva la campagna di osservazioni sarà aperta a tutta la cittadinanza nel 2025.",Parma,Per maggiori informazioni contatta la mail di riferimento o visita il sito del progetto,Territorio nazionale,nazionale,CREA con la collaborazione di Universitò di Parma,"Biologia, biodiversità, coleotteri, ",05_BOB_Logo_Positiv-Final.png,,,scienze naturali,Ricercatori; Pubblico generico; Appassionati,Facile,,,,,Alessandro Campanaro,alessandro.campanaro@crea.gov.it,alessandro.campanaro@crea.gov.it,,5
Progetto,01/04/2023,30/11/2025,LIFE ESC360 - After Life,www.facebook.com/life360esc/,active,"Obiettivo del progetto Life ESC 360 è quello di offrire ai giovani la possibilità di fare esperienza nella conservazione della natura attraverso attività di monitoraggio di specie protette all’interno di Riserve Statali in Italia; fondamentale per una gestione mirata delle stesse. I dati raccolti dai volontari, rappresentano un incremento di conoscenza sulla presenza e sull’andamento delle popolazioni di specie di interesse comunitario, anche per le finalità del rapporto tecnico previsto dall’articolo 17 della Direttiva Habitat sul loro stato di conservazione. I volontari opportunatamente formati, applicheranno protocolli standard per il monitoraggio di numerose specie di invertebrati, anfibi, uccelli, mammiferi di interesse comunitario specie e habitat di in prevalenza forestali.","Il progetto LIFE ESC360 ""Volunteers for monitoring forest biodiversity in the Italian Natura 2000 network"" aveva lo scopo di reclutare giovani volonari aderenti al corpo europeo di solidarietà per effettuare attività di monitoraggio di specie e habitat protetti all'interno di Riserve Statali gestite dall'Arma dei Carabinieri. Il progetto è attualmente nella fase after-life, nel 2024 e nel 2025 saranno mantenute le attività previste nel progetto seppur in forma ridotta (in termini di numero di volontari e durata dei turni di volontariato)",Volontari di 18-30 anni contribuiscono alla raccola di dati sulla stato di conservazione di specie e habitat protetti nelle Riserve Statali ricadenti all'interno della Rete Natura 2000,Mantova;Ferrara;Arezzo;Forlì-Cesena;Latina;Bari;Brindisi,Per maggiori informazioni contatta la mail di riferimento o visita il sito del progetto,"5 macroaree: 1) Bosco Fontana (MN), 2) Riserve Statli della Marella, 3) Riserve Statali delle Foreste Casentinesei, 4) Riserve Statali del Circeo, 5) Murge orientali",locale,Raggruppamento Biodiversitò dell'Arma dei Carabinieri & CREA,"Biologia, biodiversità, ",06_lifeESC360.png,,,scienze naturali,Ricercatori; Pubblico generico; Appassionati,Facile,,,,,Alessandro Campanaro,alessandro.campanaro@crea.gov.it,alessandro.campanaro@crea.gov.it,,6
Progetto,01/01/2025,,Guardiani della Costa,www.guardianidellacosta.it,active,"Guardiani della Costa è un progetto educativo che si inserisce all’interno del percorso didattico delle scuole superiori rivolto a studenti e docenti di tutti gli istituti scolastici d’Italia.
 
 Lo definiamo un progetto di citizen science, ovvero di scienza applicata collettivamente da cittadini e cittadine informati e responsabili. Vivere quest’esperienza è semplice: con una serie di strumenti gratuiti gli studenti potranno aumentare la loro consapevolezza sull’unicità del patrimonio naturalistico delle coste italiane, sui problemi che derivano dall’inquinamento marino, in particolare dall’aumento dei rifiuti marini lungo le coste.","Valutare il livello di naturalità delle spiagge italiane, analizzare i materiali spiaggiati e monitorare micro e mesoplastiche negli arenili","Il programma di CS di Guardiani della Costa rispetta tutti i principi ECSA.
Il programma è dedicato alle scuole superiori italiane. I docenti interessati si registrano sulla piattaforma online e coinvolgono i loro studenti, creando ""squadre"" di rilevatori. Per ogni squadra, ciascun docente adotta un tratto di spiaggia dove effettuare la raccolta dati scientifici. Prima delle uscite sul campo, docenti e studenti vengono formati da ENEA (partner scientifico) sulle tematiche di riferimento e sui protocolli di raccolta dati, attraverso dispense, video webcast, e webinar in diretta dove è possibile interagire con gli esperti, grazie alla piattaforma messa a disposizione da Scuola di Robotica (partner tecnico). Le squadre di Guardiani, coordinate dai rispettivi docenti, effettuano le uscite sui tratti di spiaggia adottati e raccolgono i dati seguendo protocolli specifici elaborati da ENEA. Dati e fotografie vengono caricati dalle squadre sulla piattaforma online. I dati ricevuti vengono verificati da ENEA (validazione). Superata la validazione, i dati vengono elaborati. I risultati vengono restituiti ai partecipanti e al pubblico più ampio attraverso report, webinar in diretta, sistemi interattivi di consultazione online, comunicazioni scientifiche e diffusione su testate giornalistiche.",Genova,Per maggiori informazioni contatta la mail di riferimento o visita il sito del progetto,Coste italiane,nazionale,Costa Crociere Foundation,"Ambiente, microplastiche, spiagge",07_guardiani.png,,,scienze naturali,Ricercatori; Pubblico generico; Appassionati,Facile,,,,,Ivo Rossetti,ivo.rossetti@enea.it,ivo.rossetti@enea.it,,7
Progetto,01/01/2025,,SOS Pinna: la Subacquea aiuta la Ricerca,,active,"Il progetto SOS Pinna: la subacquea aiuta la Ricerca è uno strumento per la salvaguardia di Pinna nobilis, specie iconica del Mediterraneo a rischio di estinzione","Coinvolgere i subacquei amatoriali e professionisti nella ricerca di individui vivi di Pinna nobilissimo e Pinna rudis, due specie protette, la prima a rischio estinzione",I subacquei sono coinvolti nella ricerca di esemplari di Pinna generando nuove conoscenze per la loro distribuzione geografica; traggono vantaggio ricevendo feedback sotto forma di ringraziamenti a congressi e in pubblicazioni oltre che essendo chiamati a descrivere la loro attività nel corso di convegni e seminari pubblici,Taranto,Per maggiori informazioni contatta la mail di riferimento o visita il sito del progetto,Coste italiane,nazionale,CNR Istituto di Ricerca sulle Acque (IRSA),"Pinna nobilis, Mediterraneo, Salvaguardia, biodiversità",8_Pinna_nobilis.jpg,,,scienze naturali,Ricercatori; Pubblico generico; Appassionati,Facile,,,,,Fernando Rubino,fernando.rubino@cnr.it,fernando.rubino@cnr.it,,8
Progetto,01/01/2025,,Butterfly Monitoring Scheme,https://butterfly-monitoring.net/it/italy-bms,active,"Il Butterfly Monitoring Scheme (o rete di monitoraggio delle farfalle) consiste nel conteggio delle specie di farfalle seguendo un metodo condiviso in tutta Europa. Il progetto ha lo scopo di valutare l’abbondanza delle popolazioni di farfalle, al fine di stabilire strategie di conservazione appropriate, grazie all’impegno di moltissimi volontari.
 
 Se ti piacciono le farfalle e le camminate all’aria aperte entra anche tu a far parte del ITBMS, condividi la passione per questi meravigliosi insetti con tutta Europa, diventando un cittadino scienziato.","Rete europea permanente di raccolta dati semiquantitativi di farfalle, cui abbiamo aderito nel 2019.  ",Tutta la rete si basa sulla raccolta dati da parte di cittadini opportunamente guidati e seguiti,Torino,Per maggiori informazioni contatta la mail di riferimento o visita il sito del progetto,Italia ,nazionale,"A livello europeo Buttefly Conaservatione Europe , in italia coordinato da Simona Bonelli (UNITO) con la collaborazione di Leonardo Dapporto (UNIFI) e Stefano Scalercio (CREA)","biologia, biodiversità, farfalle, lepidotteri",9_butterfly.png,,,scienze naturali,Ricercatori; Pubblico generico; Appassionati,Facile,,,,,Simona Bonelli,simona.bonelli@unito.it,simona.bonelli@unito.it,,9
Progetto,01/01/2025,,FRAMEWORK Progetto H2020,https://www.framework-biodiversity.eu/,active,"Il progetto ha come obiettivo lo sviluppo di un framework per la gestione e il monitoraggio della biodiversità negli agroecosistemi europei, promuovendo il coinvolgimento attivo sia degli agricoltori sia della cittadinanza. L’approccio si fonda sulla collaborazione tra comunità locali ed esperti, con l’intento di raccogliere dati scientifici e aumentare la consapevolezza sull’importanza della biodiversità nelle aree agricole.
 
 Una parte centrale del progetto è rappresentata dall’organizzazione di BioBlitz nelle aree di studio, eventi che permettono alla popolazione di partecipare direttamente all’osservazione e identificazione delle specie presenti. Nel 2023 sono stati organizzati due BioBlitz:
 
 il primo incluso nel City Nature Challenge, con il patrocinio del NBFC;
 
 il secondo in collaborazione con il Museo di Storia Naturale e lo Sportello di Agroecologia di Calci.
 
 Durante i BioBlitz, esperti di flora, avifauna, entomofauna, rettili e anfibi hanno guidato i partecipanti in piccoli gruppi, fornendo supporto nell’identificazione degli organismi osservati e fotografati. Per il City Nature Challenge è stato suggerito l’utilizzo della piattaforma iNaturalist per registrare le osservazioni, così da contribuire alla raccolta di dati condivisi a livello globale.",gestione e monitoraggio della biodiversità in agroecosistemi europei coinvolgendo gli agricoltori e la cittadinanza. Una parte del progetto prevede l'organizzazione di BioBlitz nelle aree di studio del progetto. ,"BioBlitz per la cittadinanza, organizzato due volte: prima volta nel 2023 incluso nel City Nature Challenge (con patrocinio NBFC) e seconda volta solo BioBlitz con Museo di Storia Naturale e Sportello di Agroecologia di Calci. Esperti di flora, avifauna, entomofauna, rettili e anfibi hanno guidati i partecipanti in piccoli gruppetti e hanno supportato l'indentificazione degli organismi osservati e fotografati. Abbiamo suggerito l'utilizzo di I-Naturalist per registrare le osservazioni (per CNC). ",Pisa,Per maggiori informazioni contatta la mail di riferimento o visita il sito del progetto,Monte Pisano (zona Calci) in Toscana,locale,Scuola Superiore Sant'Anna di Pisa e Museo di Storia Naturale dell'Università di Pisa a Calci,"Biodiversità, agroecosistemi, Europa",11_FRAMRwork.jpg,,,scienze naturali,Ricercatori; Pubblico generico; Appassionati,Facile,,,,,Raffaella Bullo,r.bullo@pm.univpm.it,r.bullo@pm.univpm.it,,10
